time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,0,0,0,0
2026-06-18 00:00:00+00:00,0,0,0,0
2026-06-19 00:00:00+00:00,0,0,0,0
2026-06-20 00:00:00+00:00,0,0,0,0
2026-06-21 00:00:00+00:00,0,0,0,0
2026-06-22 00:00:00+00:00,0,0,0,0
2026-06-23 00:00:00+00:00,0,0,0,0
2026-06-24 00:00:00+00:00,0,0,0,0
2026-06-25 00:00:00+00:00,0,0,0,0
2026-06-26 00:00:00+00:00,0,0,0,0
2026-06-27 00:00:00+00:00,0,0,0,0
2026-06-28 00:00:00+00:00,0,0,0,0
2026-06-29 00:00:00+00:00,9,8,0,0
2026-06-30 00:00:00+00:00,21,12,9,1
2026-07-01 00:00:00+00:00,46,26,2,1
2026-07-02 00:00:00+00:00,20,9,0,0
2026-07-03 00:00:00+00:00,11,6,1,1
2026-07-04 00:00:00+00:00,13,7,0,0
2026-07-05 00:00:00+00:00,11,6,0,0
2026-07-06 00:00:00+00:00,14,9,0,0
2026-07-07 00:00:00+00:00,19,10,0,0
2026-07-08 00:00:00+00:00,13,8,0,0
2026-07-09 00:00:00+00:00,4,4,0,0
2026-07-10 00:00:00+00:00,2,2,3,1
